revid_ctxt,date,rev_time,editor,link,rev_id,token_id,pos,in,out,action,duplicated,left,token,right,nationality,birth_place,Link,Bulk,ali comment,fabian_comment,cluster_4,cluster_10
213471427,2008-05-01,2008-05-19 14:24:16,2796168,http://en.wikipedia.org/w/index.php?&diff=213471427,213471427,10556,73,116,5,in,TRUE," 13 ]] [[ 1888 ]] | birth _ place = [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] | death _ date = [[ june 14 ]]",N,Y,N,Y,,,-1,8
243435244,2008-10-01,2008-10-07 10:42:16,1128841,http://en.wikipedia.org/w/index.php?&diff=243625858,243625858,10556,64,2,2,out,TRUE," 13 ]] [[ 1888 ]] | birth _ place = [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] | death _ date = [[ june 14 ]]",N,Y,N,N,,,13,-1
804543305,2017-10-01,10/9/17 18:05,31911579,http://en.wikipedia.org/w/index.php?&diff=804543305,804543305,22742,3619,75,0,in,TRUE, : / / www . scotsman . com / heritage / people - places /,scottish, - fact - of - the - day - first - tv - signal,N,N,N,Y,Question,"NO, just references a title",-1,-1
244288237,2008-10-01,2008-10-10 03:05:23,0|70.18.39.197,http://en.wikipedia.org/w/index.php?&diff=244288237,244288237,11181,213,36,72,in,TRUE," a prominent place in television ' s invention . baird was born in helensburgh ,",argyll," , scotland . he was educated at larchfield academy ( now part of lomond",N,Y,N,Y,,,-1,-1
249233690,2008-11-01,2008-11-04 16:41:07,0|122.169.1.106,http://en.wikipedia.org/w/index.php?&diff=249668442,249668442,2507,3338,0,1209,out,TRUE," birth = 13 august 1888 | place of birth = [[ helensburgh ]] , [[",argyll," and bute ]] , scotland | date of death = 14 june 1946 |",N,Y,N,Y,,,-1,-1
249233690,2008-11-01,2008-11-04 16:41:07,0|122.169.1.106,http://en.wikipedia.org/w/index.php?&diff=249668442,249668442,2180,3396,0,1209,out,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : scottish engineers ]] [[ category : scottish inventors,N,Y,N,Y,,,-1,-1
249668669,2008-11-01,2008-11-04 16:42:12,7556322,http://en.wikipedia.org/w/index.php?&diff=249668669,249668669,2507,3338,1209,0,rein,TRUE," birth = 13 august 1888 | place of birth = [[ helensburgh ]] , [[",argyll," and bute ]] , scotland | date of death = 14 june 1946 |",N,Y,N,Y,,,-1,-1
249668669,2008-11-01,2008-11-04 16:42:12,7556322,http://en.wikipedia.org/w/index.php?&diff=249668669,249668669,2180,3396,1209,0,rein,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : scottish engineers ]] [[ category : scottish inventors,N,Y,N,Y,,,-1,-1
251994351,2008-11-01,2008-11-15 18:13:35,0|144.87.143.3,http://en.wikipedia.org/w/index.php?&diff=251995084,251995084,2180,3398,53,319,out,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : people from dunbartonshire ]] [[ category : scottish,N,Y,N,Y,First insertaion,,-1,-1
251995120,2008-11-01,2008-11-15 18:13:49,7696608,http://en.wikipedia.org/w/index.php?&diff=251995120,251995120,2180,3398,319,53,rein,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : people from dunbartonshire ]] [[ category : scottish,N,Y,N,Y,,,0,-1
249233690,2008-11-01,11/4/08 16:41,0|122.169.1.106,http://en.wikipedia.org/w/index.php?&diff=249668442,249668442,10812,16,0,1209,out,TRUE, otherpeople | john baird }} {{ infobox engineer | image = jl - baird -,scottish, - inventor - of - tv . jpg | caption = | name =,N,N,N,Y,,,2,4
276537707,2009-03-01,2009-03-11 16:30:11,7746361,http://en.wikipedia.org/w/index.php?&diff=276537707,276537707,2574,232,10,8,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at larchfield academy ( now",N,Y,N,N,,,13,14
289832854,2009-05-01,2009-05-15 18:27:52,0|38.116.200.45,http://en.wikipedia.org/w/index.php?&diff=290140242,290140242,2574,249,12,3,out,FALSE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at larchfield academy ( now",N,Y,N,N,,,13,14
290140621,2009-05-01,2009-05-15 18:29:49,7746361,http://en.wikipedia.org/w/index.php?&diff=290140621,290140621,2574,249,7,12,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at larchfield academy ( now",N,Y,N,N,,,-1,77
319812921,2009-10-01,2009-10-14 14:20:08,0|92.41.164.183,http://en.wikipedia.org/w/index.php?&diff=319813431,319813431,2574,273,1,312,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , scotland . he was educated at [[ larchfield academy ]] ( now",N,Y,N,Y,,,-1,-1
319814729,2009-10-01,2009-10-14 14:28:30,1483333,http://en.wikipedia.org/w/index.php?&diff=319814729,319814729,2574,269,306,51,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , scotland . he was educated at [[ larchfield academy ]] ( now",N,Y,N,Y,,,-1,-1
328080169,2009-11-01,2009-11-27 08:20:41,394460,http://en.wikipedia.org/w/index.php?&diff=328176707,328176707,2180,4666,29,46,out,TRUE, ]] [[ category : 20th - century british people ]] [[ category : people from,argyll, and bute ]] [[ category : people from dunbartonshire ]] [[ category : british,N,Y,N,N,?,,-1,-1
328390306,2009-11-01,2009-11-28 15:12:40,7082942,http://en.wikipedia.org/w/index.php?&diff=328390306,328390306,2180,4666,46,29,rein,TRUE, ]] [[ category : 20th - century british people ]] [[ category : people from,argyll, and bute ]] [[ category : people from dunbartonshire ]] [[ category : british,N,Y,N,N,,,-1,-1
328390306,2009-11-01,2009-11-28 15:13:14,7082942,http://en.wikipedia.org/w/index.php?&diff=328390386,328390386,2180,4666,29,46,out,TRUE, ]] [[ category : 20th - century british people ]] [[ category : people from,argyll, and bute ]] [[ category : people from dunbartonshire ]] [[ category : british,N,Y,N,N,,,-1,-1
340030344,2010-01-01,2010-01-26 00:00:47,0|24.10.190.216,http://en.wikipedia.org/w/index.php?&diff=340030558,340030558,2574,349,0,96,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,114
340047191,2010-01-01,2010-01-26 01:41:11,139104,http://en.wikipedia.org/w/index.php?&diff=340047191,340047191,2574,349,96,0,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,114
346162001,2010-02-01,2010-02-25 11:52:24,0|124.107.253.171,http://en.wikipedia.org/w/index.php?&diff=346278525,346278525,2574,364,3,96,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,114
346280719,2010-02-01,2010-02-25 12:15:00,1483333,http://en.wikipedia.org/w/index.php?&diff=346280719,346280719,2574,364,96,3,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,114
358834928,2010-04-01,2010-04-28 15:29:10,0|86.131.246.125,http://en.wikipedia.org/w/index.php?&diff=358862210,358862210,2574,424,8,22,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,N,,,-1,-1
358862744,2010-04-01,2010-04-28 15:32:44,8211899,http://en.wikipedia.org/w/index.php?&diff=358862744,358862744,2574,424,22,8,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,N,,,-1,-1
358864498,2010-04-01,2010-04-28 15:46:32,0|86.131.246.125,http://en.wikipedia.org/w/index.php?&diff=358865090,358865090,2574,424,9,85,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,-1
358866586,2010-04-01,2010-04-28 15:55:37,139104,http://en.wikipedia.org/w/index.php?&diff=358866586,358866586,2574,424,85,16,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,-1
364342099,2010-05-01,2010-05-26 18:38:16,0|165.138.241.20,http://en.wikipedia.org/w/index.php?&diff=364343741,364343741,2574,425,4,94,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,-1
364343820,2010-05-01,2010-05-26 18:38:42,11743424,http://en.wikipedia.org/w/index.php?&diff=364343820,364343820,2574,425,146,21,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,-1,-1
406040189,2011-01-01,2011-01-07 19:34:49,0|205.215.177.140,http://en.wikipedia.org/w/index.php?&diff=406540235,406540235,2574,990,1,90,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,91,122
406540250,2011-01-01,2011-01-07 19:34:54,13286072,http://en.wikipedia.org/w/index.php?&diff=406540250,406540250,2574,990,90,1,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,91,122
406540250,2011-01-01,2011-01-07 19:35:28,0|205.215.177.140,http://en.wikipedia.org/w/index.php?&diff=406540351,406540351,2574,990,3,89,out,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,91,122
406540385,2011-01-01,2011-01-07 19:35:39,11795830,http://en.wikipedia.org/w/index.php?&diff=406540385,406540385,2574,990,89,3,rein,TRUE," in [[ helensburgh ]] , [[ dunbartonshire ]] ( helensburgh is now in the [[",argyll, and bute ]] council area ) . he was educated at [[ larchfield academy,N,Y,N,Y,,,66,122
447852402,2011-09-01,2011-09-02 11:24:53,15254840,http://en.wikipedia.org/w/index.php?&diff=448023464,448023464,2574,1017,2,84,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448023491,2011-09-01,2011-09-02 11:25:01,13286072,http://en.wikipedia.org/w/index.php?&diff=448023491,448023491,2574,1017,84,2,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448023491,2011-09-01,2011-09-02 11:25:15,15254840,http://en.wikipedia.org/w/index.php?&diff=448023524,448023524,2574,1017,2,84,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448023571,2011-09-01,2011-09-02 11:25:37,14147217,http://en.wikipedia.org/w/index.php?&diff=448023571,448023571,2574,1017,84,2,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448023571,2011-09-01,2011-09-02 11:27:33,15254840,http://en.wikipedia.org/w/index.php?&diff=448023817,448023817,2574,1017,2,84,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448024006,2011-09-01,2011-09-02 11:29:08,14146562,http://en.wikipedia.org/w/index.php?&diff=448024006,448024006,2574,1017,84,2,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448025422,2011-09-01,2011-09-02 11:42:39,15254905,http://en.wikipedia.org/w/index.php?&diff=448025457,448025457,2574,1017,3,84,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
448025478,2011-09-01,2011-09-02 11:42:49,13286072,http://en.wikipedia.org/w/index.php?&diff=448025478,448025478,2574,1017,84,3,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,91,132
462147150,2011-11-01,2011-11-23 23:42:57,0|99.243.46.34,http://en.wikipedia.org/w/index.php?&diff=462181124,462181124,2574,1031,0,90,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
462194963,2011-11-01,2011-11-24 01:42:22,139104,http://en.wikipedia.org/w/index.php?&diff=462194963,462194963,2574,1031,90,0,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
466871016,2012-01-01,2012-01-10 12:42:22,0|62.199.35.28,http://en.wikipedia.org/w/index.php?&diff=470604605,470604605,2574,1034,64,81,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
470605203,2012-01-01,2012-01-10 12:47:40,7852030,http://en.wikipedia.org/w/index.php?&diff=470605203,470605203,2574,1034,81,64,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
487673626,2012-04-01,2012-04-26 16:18:59,0|62.49.19.26,http://en.wikipedia.org/w/index.php?&diff=489331614,489331614,2574,909,6,15,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
489356412,2012-04-01,2012-04-26 19:05:58,139104,http://en.wikipedia.org/w/index.php?&diff=489356412,489356412,2574,909,15,6,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,N,,,-1,-1
490512869,2012-05-01,2012-05-14 14:09:17,0|88.222.200.10,http://en.wikipedia.org/w/index.php?&diff=492523246,492523246,2574,909,4,4,out,FALSE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,N,,,-1,133
492525386,2012-05-01,2012-05-14 14:25:12,139104,http://en.wikipedia.org/w/index.php?&diff=492525386,492525386,2574,909,4,4,rein,FALSE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,N,,,-1,133
533454589,2013-01-01,2013-01-19 19:48:36,0|86.5.146.101,http://en.wikipedia.org/w/index.php?&diff=533890192,533890192,2574,907,0,90,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
533913288,2013-01-01,2013-01-19 22:39:55,139104,http://en.wikipedia.org/w/index.php?&diff=533913288,533913288,2574,907,104,5,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
540904786,2013-02-01,2013-02-28 18:19:19,0|81.154.175.221,http://en.wikipedia.org/w/index.php?&diff=541303002,541303002,2574,1007,1,87,out,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
541303035,2013-02-01,2013-02-28 18:19:26,13286072,http://en.wikipedia.org/w/index.php?&diff=541303035,541303035,2574,1007,87,1,rein,TRUE," = = early years = = baird was born in [[ helensburgh ]] , [[",argyll, and bute ]] ( then [[ dunbartonshire ]] ) . he was educated at,N,Y,N,Y,,,-1,-1
638561837,2015-01-01,2015-01-17 16:52:46,0|82.43.107.127,http://en.wikipedia.org/w/index.php?&diff=642926733,642926733,2574,991,30,165,out,TRUE," baird was born at 8am on 14 august 1888 in [[ helensburgh ]] , [[",argyll," and bute ]] ( then [[ dunbartonshire ]] ) , and was the youngest",N,Y,N,Y,,,0,-1
642926740,2015-01-01,2015-01-17 16:52:49,13286072,http://en.wikipedia.org/w/index.php?&diff=642926740,642926740,2574,991,165,30,rein,TRUE," baird was born at 8am on 14 august 1888 in [[ helensburgh ]] , [[",argyll," and bute ]] ( then [[ dunbartonshire ]] ) , and was the youngest",N,Y,N,Y,,,0,-1
647540836,2015-02-01,2015-02-17 23:57:11,0|95.145.204.142,http://en.wikipedia.org/w/index.php?&diff=647629841,647629841,2574,991,12,20,out,TRUE," baird was born at 8am on 14 august 1888 in [[ helensburgh ]] , [[",argyll," and bute ]] ( then [[ dunbartonshire ]] ) , and was the youngest",N,Y,N,N,,,-1,-1
698355496,2016-01-01,2016-01-11 22:38:42,1398,http://en.wikipedia.org/w/index.php?&diff=699370615,699370615,2507,6475,0,71,out,TRUE," | date of birth = 13 august 1888 | place of birth = helensburgh ,",argyll," and bute , scotland | date of death = 14 june 1946 | place",N,Y,N,Y,,,-1,-1
747524120,2016-11-01,2016-11-02 21:38:06,0|78.144.252.52,http://en.wikipedia.org/w/index.php?&diff=747524120,747524120,22017,5265,4,0,in,TRUE," is buried with his mother , father and wife in [[ helensburgh cemetery ]] ,",argyll," , scotland . < ref > {{ find a grave | 13787631 }} <",N,N,N,N,,,-1,-1
752104064,2016-11-01,2016-11-29 14:48:56,28922193,http://en.wikipedia.org/w/index.php?&diff=752104064,752104064,22028,95,3,1,in,TRUE," | 8 | 14 }} | birth _ place = [[ helensburgh ]] , [[",argyll," and bute ]] , scotland , uk | death _ date = {{ death",N,Y,N,N,,,13,-1
311351398,2009-09-01,2009-09-01 21:29:01,0|99.140.242.167,http://en.wikipedia.org/w/index.php?&diff=311351398,311351398,12854,453,593,15,in,TRUE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,Y,,,-1,64
311351756,2009-09-01,2009-09-01 21:31:18,3683078,http://en.wikipedia.org/w/index.php?&diff=311351835,311351835,12854,453,15,605,out,TRUE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,Y,,,-1,64
311722174,2009-09-01,2009-09-03 20:51:52,3759030,http://en.wikipedia.org/w/index.php?&diff=311722174,311722174,12854,453,236,6,rein,TRUE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,N,,,-1,64
328176707,2009-11-01,11/27/09 8:20,394460,http://en.wikipedia.org/w/index.php?&diff=328176707,328176707,2186,4670,29,46,rein,TRUE, - century scottish people ]] [[ category : people from helensburgh ]] [[ category :,scottish, engineers ]] [[ category : scottish inventors ]] [[ category : television pioneers ]],Y,N,N,N,,,68,91
328176707,2009-11-01,11/28/09 15:12,7082942,http://en.wikipedia.org/w/index.php?&diff=328390306,328390306,2186,4670,46,29,out,TRUE, - century scottish people ]] [[ category : people from helensburgh ]] [[ category :,scottish, engineers ]] [[ category : scottish inventors ]] [[ category : television pioneers ]],Y,N,N,N,,,68,91
390498379,2010-10-01,2010-10-13 14:00:19,86359,http://en.wikipedia.org/w/index.php?&diff=390498379,390498379,15196,1654,14,8,in,TRUE," television . in 1932 , baird was the first person in [[ united kingdom |",britain," ]] to demonstrate ultra - short wave transmission . ( today , we refer",N,N,Right,N,,,-1,-1
407293637,2011-01-01,2011-01-11 17:04:11,0|82.9.26.140,http://en.wikipedia.org/w/index.php?&diff=407298862,407298862,12854,1161,1,2498,out,TRUE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,Y,,,-1,48
407293637,2011-01-01,2011-01-11 17:04:11,0|82.9.26.140,http://en.wikipedia.org/w/index.php?&diff=407298862,407298862,15196,2193,1,2498,out,TRUE," television . in 1932 , baird was the first person in [[ united kingdom |",britain," ]] to demonstrate ultra - short wave transmission . ( today , we refer",N,N,Right,Y,,,-1,48
407299122,2011-01-01,2011-01-11 17:05:29,11795830,http://en.wikipedia.org/w/index.php?&diff=407299122,407299122,12854,1161,2498,1,rein,TRUE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,Y,,,-1,48
407299122,2011-01-01,2011-01-11 17:05:29,11795830,http://en.wikipedia.org/w/index.php?&diff=407299122,407299122,15196,2193,2498,1,rein,TRUE," television . in 1932 , baird was the first person in [[ united kingdom |",britain," ]] to demonstrate ultra - short wave transmission . ( today , we refer",N,N,Right,Y,,,-1,48
412388622,2011-02-01,2011-02-09 16:54:51,0|94.171.23.93,http://en.wikipedia.org/w/index.php?&diff=412936780,412936780,12854,1163,0,26,out,FALSE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,Y,,,-1,-1
412952592,2011-02-01,2011-02-09 18:33:52,139104,http://en.wikipedia.org/w/index.php?&diff=412952592,412952592,12854,1163,26,0,rein,FALSE, baird was a prominent pioneer and made major advances in the field . particularly in,britain," , many historians credit baird with being the first to produce a live ,",N,N,N,N,,,-1,-1
